id,nome,categoria,acesso,custo,cobertura,entidades,conteudo_interesse,limitacoes,evidencia_url,nivel_evidencia,data_consulta,integracao_testada,schema_nativo_completo
goal,GOAL Brasil,Notícias e redações,Site editorial,Consulta web; licenciamento separado,Futebol global; edição brasileira,noticia,Notícias; resultados; transferências; perfis editoriais,Versões locais e republicações não constituem evidências independentes.,https://www.goal.com/br,pagina,2026-09-14,False,False
onefootball,OneFootball,Notícias e redações,Site/app agregador,Consulta; parceiros e licença a consultar,Global; múltiplos idiomas,noticia;partida,Notícias agregadas; placares; conteúdo de clubes,"Página falhou nesta pesquisa. Preservar publicador original, além do agregador.",https://onefootball.com/pt-br,pendente,2026-09-14,False,False
bbc,BBC Sport Football,Notícias e redações,Site; RSS candidato,Consulta web; termos próprios,Futebol; inglês,noticia,Notícias e cobertura de jogos,"RSS respondeu como XML, não interpretado pelo navegador; itens do feed não foram validados.",https://www.bbc.co.uk/sport/football,pagina,2026-09-14,False,False
sky,Sky Sports Football,Notícias e redações,Site; RSS candidato,Consulta web; direitos de conteúdo separados,Futebol britânico e internacional; inglês,noticia;transferencia,Notícias; mercado; entrevistas; cobertura de partidas,Feed /rss/12040 não validado nesta pesquisa; distinguir rumor e anúncio.,https://www.skysports.com/football,pagina,2026-09-14,False,False
athletic,The Athletic,Notícias e redações,Site de assinatura,Assinatura/licença,Futebol internacional; inglês,noticia,Reportagens; análises; bastidores; mercado,Falha de leitura; acesso e schema não validados. Paywall não é API de conteúdo.,https://www.nytimes.com/athletic/football/,pendente,2026-09-14,False,False
reuters,Reuters Soccer,Notícias e redações,Site; distribuição profissional sob contrato,Consulta/contrato conforme produto,Cobertura internacional; múltiplos idiomas por produto,noticia;midia,Reportagens; agências; fotografias conforme contrato,Página falhou. Confirmar oferta de distribuição e licença com o fornecedor.,https://www.reuters.com/sports/soccer/,pendente,2026-09-14,False,False
as,Diario AS,Notícias e redações,Site editorial,Consulta/assinatura conforme conteúdo,Espanha e internacional; espanhol,noticia,Notícias; mercado; resultados; opinião,Identificar edição regional e diferenciar rumor de notícia confirmada.,https://as.com/futbol/,pagina,2026-09-14,False,False
marca,MARCA,Notícias e redações,Site editorial,Acesso e licença a conferir,Espanha; espanhol,noticia,Notícias e mercado a verificar na edição atual,Falha de leitura; candidato pendente de validação.,https://www.marca.com/futbol.html,pendente,2026-09-14,False,False
abola,A Bola,Notícias e redações,Site editorial,Consulta/assinatura conforme conteúdo,Portugal e internacional; português,noticia,Clubes portugueses; transferências; análises,Conferir fonte primária em notícias de mercado.,https://www.abola.pt/,pagina,2026-09-14,False,False
record,Record,Notícias e redações,Site editorial,Consulta/assinatura conforme conteúdo,Portugal; português,noticia,Notícias; mercado; modalidades; classificações,"Separar opinião, notícia e conteúdo patrocinado.",https://www.record.pt/,pagina,2026-09-14,False,False
ojogo,O Jogo,Notícias e redações,Site editorial,Acesso e licença a conferir,Portugal; português,noticia,Notícias de clubes e mercado a verificar,Falha de leitura; candidato pendente de validação.,https://www.ojogo.pt/,pendente,2026-09-14,False,False
lequipe,L'Équipe,Notícias e redações,Site editorial,Consulta/assinatura conforme conteúdo,França e internacional; francês,noticia,Notícias; resultados; transferências; análises,Notas editoriais não são comparáveis automaticamente a ratings estatísticos.,https://www.lequipe.fr/Football/,pagina,2026-09-14,False,False
kicker,kicker,Notícias e redações,Site editorial,Consulta/assinatura conforme conteúdo,Alemanha; alemão,noticia,Notícias; resultados; entrevistas; análises,Conferir metodologia se forem usadas notas editoriais de jogadores.,https://www.kicker.de/,pagina,2026-09-14,False,False
gazzetta,La Gazzetta dello Sport,Notícias e redações,Site editorial,Consulta/assinatura conforme conteúdo,Itália; italiano,noticia,Notícias; mercado; análises; resultados,Separar notas/opiniões de estatísticas observadas.,https://www.gazzetta.it/Calcio/,pagina,2026-09-14,False,False
guardian,The Guardian / Open Platform,APIs e descoberta de notícias,API documentada com chave; site e RSS,Plano de desenvolvimento e licença comercial conforme uso,Conteúdo próprio; futebol em inglês,noticia,Identificador; título; URL; data; seção; tags; campos editoriais,"Consultar licença para produção e corpo completo. RSS respondeu XML, mas seus itens não foram validados.",https://open-platform.theguardian.com/documentation/,documentacao,2026-09-14,False,False
newsapi,NewsAPI,APIs e descoberta de notícias,REST JSON com chave,Grátis em desenvolvimento; planos pagos,Agregador global com filtros de idioma e domínio,noticia,Fonte; autor; título; descrição; URL; imagem; data; conteúdo parcial,O campo content é truncado; o plano de desenvolvimento não equivale a licença de produção ou de texto integral.,https://newsapi.org/docs/endpoints/everything,documentacao,2026-09-14,False,False
gdelt,GDELT,APIs e descoberta de notícias,APIs públicas e datasets; integração possível com BigQuery,Acesso aberto; computação pode ter custo,Noticiário global multilingue,noticia,URLs; títulos; idioma; domínio; país da fonte; momento de observação,"Motor de descoberta, não confirmação esportiva. seendate não é garantia do horário original; produtos têm janelas diferentes.",https://blog.gdeltproject.org/gdelt-doc-2-0-api-debuts/,documentacao,2026-09-14,False,False
gnews,GNews API,APIs e descoberta de notícias,REST JSON com chave,Planos a consultar,Agregador global; filtros de idioma/país,noticia,Artigos; título; descrição; URL; publicação; fonte,"Conferir atraso, histórico, completude e licença por plano.",https://docs.gnews.io/,documentacao,2026-09-14,False,False
newsdata,NewsData.io,APIs e descoberta de notícias,API candidata; página dinâmica,Planos a consultar,Agregação internacional; cobertura a verificar,noticia,Notícias; fontes; categorias e idiomas a confirmar no payload,Página acessível sem documentação extraível; campos e quotas não validados.,https://newsdata.io/documentation,pagina_parcial,2026-09-14,False,False
mediastack,Mediastack,APIs e descoberta de notícias,API; documentação redirecionada para APILayer,Planos a consultar,Agregação global conforme plano,noticia,Notícias; publicação; domínio; categorias a confirmar,Nova documentação carregou parcialmente; validar schema e restrições de histórico/latência.,https://mediastack.com/documentation,pagina_parcial,2026-09-14,False,False
thenewsapi,The News API,APIs e descoberta de notícias,REST JSON com api_token,Freemium,Agregador global,noticia,UUID; título; descrição; URL; fonte; idioma; publicação,"Conferir limites, paginação e conteúdo efetivamente devolvido.",https://www.thenewsapi.com/documentation,documentacao,2026-09-14,False,False
eventregistry,Event Registry / NewsAPI.ai,APIs e descoberta de notícias,API candidata; documentação a validar,Planos a consultar,Agregação e agrupamento de notícias,noticia,Artigos; eventos noticiosos; entidades; agrupamentos a verificar,"Documentação não carregou; schema, acesso e cobertura atual permanecem pendentes.",https://eventregistry.org/documentation,pendente,2026-09-14,False,False
ap,Associated Press / AP Media API,APIs e descoberta de notícias,API e distribuição profissional; site AP News,Contrato; consulta web conforme conteúdo,Agência internacional; futebol,noticia;midia,Notícias; metadados editoriais; fotos/vídeos conforme contrato,AP News e AP API são a mesma família aqui; direitos dependem do produto contratado.,https://developer.ap.org/,documentacao,2026-09-14,False,False
afp,AFP API,APIs e descoberta de notícias,API comercial; metadados NewsML-G2 conforme entrega,Contrato; trial anunciado,Agência internacional multilingue,noticia;midia,Busca; texto; imagens; vídeo; entidades; categorias; metadados,Conteúdo liberado conforme contrato; não contar republicações de AFP como fontes independentes.,https://www.afp.com/en/our-offer/afp-api,documentacao,2026-09-14,False,False
odds_api,The Odds API,Odds e mercados,REST JSON v4 com chave,Freemium,"Esportes, casas e regiões cobertas",partida;odd,Evento; horário; bookmaker; mercado; seleção; preço; linha; atualização,Histórico e mercados dependem do plano. Preservar timestamp de cada cotação.,https://the-odds-api.com/liveapi/guides/v4/,documentacao,2026-09-14,False,False
betfair,Betfair Exchange APIs,Odds e mercados,"APIs de dados; conta, credenciais e permissões",Condições por acesso e produto,Mercados disponíveis na exchange,partida;odd,Mercados; seleções; preços back/lay; volume; histórico conforme produto,Catálogo é para leitura de dados. Delayed/live e dados históricos têm condições diferentes.,https://developer.betfair.com/,documentacao,2026-09-14,False,False
pinnacle,Pinnacle API,Odds e mercados,API restrita; credenciais e aprovação do fornecedor,Acordo específico,Mercados disponibilizados ao cliente aprovado,partida;odd,Fixtures; mercados; linhas; preços,Acesso fechado ao público geral desde 23/07/2025 segundo README oficial; não é opção self-service gratuita.,https://github.com/pinnacleapi/pinnacleapi-documentation,repositorio,2026-09-14,False,False
lsports,LSports,Odds e mercados,Feeds comerciais,Sob consulta,Odds e eventos globais conforme contrato,partida;odd,Odds; mercados; alterações; metadados de eventos,"Solicitar cobertura de casas, latência e direitos de redistribuição.",https://www.lsports.eu/,pagina,2026-09-14,False,False
opticodds,OpticOdds,Odds e mercados,API candidata,Sob consulta,Cobertura atual a confirmar,partida;odd,Fixtures; odds; mercados a verificar,Documentação não carregou nesta pesquisa; não considerar integração validada.,https://docs.opticodds.com/,pendente,2026-09-14,False,False
oddsportal,OddsPortal,Odds e mercados,Site comparador,Consulta web; reutilização a conferir,Casas e competições listadas no site,partida;odd,Comparação de cotações; resultados; histórico,API pública oficial não confirmada; cobertura histórica e horário das linhas requerem verificação.,https://www.oddsportal.com/,pagina,2026-09-14,False,False
betexplorer,BetExplorer,Odds e mercados,Site de resultados/odds,Consulta web; reutilização a conferir,Competições globais,partida;odd;classificacao,Resultados; odds; confrontos; tabelas,Conteúdo pode compartilhar fornecedores com outros portais; não assumir independência.,https://www.betexplorer.com/br/,pagina,2026-09-14,False,False
clubelo,ClubElo,Ratings e finanças,Site; exportação/API histórica a revalidar,Consulta; condições a conferir,Clubes cobertos pelo ranking,rating;equipe,Rating Elo; ranking; data; histórico de força,A rota /API redirecionou à página inicial. Não foi validada uma rota CSV operacional nesta pesquisa.,https://clubelo.com/,pagina,2026-09-14,False,False
world_elo,World Football Elo Ratings,Ratings e finanças,Site,Consulta; reutilização a conferir,Seleções nacionais,rating;equipe,Elo; ranking; histórico a conferir,Página carregou conteúdo mínimo; validar série histórica. Elo não é o ranking oficial FIFA.,https://www.eloratings.net/,pagina_parcial,2026-09-14,False,False
euroclubindex,Euro Club Index,Ratings e finanças,Site e produtos de ranking,Consulta/contrato conforme produto,Clubes europeus,rating;equipe;previsao,Índice de força; ranking; projeções conforme oferta,Metodologia proprietária; não misturar escala com Elo ou SPI.,https://www.euroclubindex.com/,pagina,2026-09-14,False,False
cies,CIES Football Observatory,Ratings e finanças,Relatórios e ferramentas web,Consulta/licença conforme produto,"Mercado, demografia e desempenho de clubes/jogadores",valor_mercado;relatorio_mercado;documento,Estimativas; mobilidade; composição dos elencos; relatórios,"Valores de modelos são estimativas, não taxas confirmadas; granularidade varia por estudo.",https://football-observatory.com/,pagina,2026-09-14,False,False
capology,Capology,Ratings e finanças,Site candidato,Acesso/licença a conferir,Salários de ligas selecionadas; cobertura a confirmar,salario;jogador;equipe,Salários; temporadas; totais por clube a verificar,"Página não carregou. Não presumir que números sejam confirmados, líquidos ou livres de bônus.",https://www.capology.com/,pendente,2026-09-14,False,False
deloitte,Deloitte Football Money League,Ratings e finanças,Relatórios anuais,Publicação; licença a conferir,Clubes analisados em cada edição,financas_clube;documento,Receitas; componentes; ranking de clubes,Rota candidata não carregou; localizar edição e moeda antes de usar valores. Receita não equivale a lucro.,https://www.deloitte.com/uk/en/Industries/sports-business-group/analysis/deloitte-football-money-league.html,pendente,2026-09-14,False,False
fpl,Fantasy Premier League,Fantasy,Site; endpoints internos sem contrato público validado,Jogo; condições próprias,Premier League,fantasy;jogador;partida,Preço fantasy; pontos; rodada; disponibilidade; seleção,Não tratar endpoint interno como API oficial suportada; preço fantasy não é valor de mercado.,https://fantasy.premierleague.com/,pagina_parcial,2026-09-14,False,False
fpl_archive,Fantasy-Premier-League — vaastav,Fantasy,GitHub; CSV por temporada/rodada,Licença do repositório e direitos de origem,Histórico da FPL disponibilizado pela comunidade,fantasy;jogador;partida,Pontos; preços; rodada; estatísticas por jogador,"Fixar commit e conferir temporada/rodada mais recente. Cópia histórica da FPL, não confirmação independente.",https://github.com/vaastav/Fantasy-Premier-League,repositorio,2026-09-14,False,False
cartola,Cartola,Fantasy,Site/app; API pública suportada não confirmada,Jogo e planos conforme oferta,Brasileirão e recortes do produto,fantasy;jogador;equipe,Pontuação; scouts; preço; status; rodada,Regras e scouts mudam por temporada; histórico precisa de snapshots próprios ou fonte licenciada.,https://ge.globo.com/cartola/,pagina,2026-09-14,False,False
wikidata,Wikidata,Metadados e contexto,"SPARQL, API e dumps",Dados estruturados CC0,Entidades globais; completude comunitária,equipe;jogador;estadio;identificador,Identificadores externos; nomes; países; datas; relações,Bom para resolver identidades; relações precisam de qualificadores temporais e não substituem elenco atualizado.,https://www.wikidata.org/wiki/Wikidata:Data_access,documentacao,2026-09-14,False,False
commons,Wikimedia Commons,Metadados e contexto,MediaWiki API,Licença por arquivo,Fotos; escudos; estádios; atletas,midia,URL; autoria; licença; descrição; dimensões,Verificar licença e atribuição individual; não assumir que toda imagem tem a mesma permissão.,https://commons.wikimedia.org/wiki/Commons:API,documentacao,2026-09-14,False,False
osm,OpenStreetMap / Overpass,Metadados e contexto,Overpass API e dumps,ODbL; atribuição e condições próprias,"Estádios, campos e locais globais",estadio,Nome; coordenadas; esporte; capacidade quando cadastrada,"Tags e completude variam; distinguir estádio, complexo e campo para não duplicar locais.",https://wiki.openstreetmap.org/wiki/Overpass_API,documentacao,2026-09-14,False,False
open_meteo,Open-Meteo,Metadados e contexto,API JSON; forecast e histórico são produtos distintos,Não comercial gratuito conforme termos; comercial pago,Coordenadas dos estádios; modelos cobertos,clima,Temperatura; chuva; vento; umidade; condições por horário,Para backtest usar previsão disponível na época ou observação corretamente marcada; reanálise futura não é previsão conhecida antes do jogo.,https://open-meteo.com/en/docs,documentacao,2026-09-14,False,False
stjd,STJD,Metadados e contexto,Site e documentos de decisões,Consulta pública; reutilização a conferir,Justiça desportiva do futebol brasileiro,sancao;documento,Processo; decisão; publicação; entidade; pena,Documento pode sofrer recurso ou efeito suspensivo. Extração não determina sozinha elegibilidade do atleta.,https://stjd.org.br/,pagina,2026-09-14,False,False
scorebat,ScoreBat Video API,Vídeo e transmissão,API de metadados e embeds,Plano/condições do produto,Vídeos e jogos disponíveis no feed,midia;partida,Título; data; competição; imagem; URL/embed,Usar conforme termos do embed; acesso ao link não licencia download/republicação do vídeo.,https://www.scorebat.com/video-api/,documentacao,2026-09-14,False,False
youtube,YouTube Data API,Vídeo e transmissão,API oficial com chave/OAuth conforme operação,Quotas e políticas do serviço,"Canais de clubes, ligas e redações",midia;noticia,Vídeo; canal; título; publicação; descrição; estatísticas,Filtrar canais oficiais; Data API fornece metadados e não licença audiovisual.,https://developers.google.com/youtube/v3,documentacao,2026-09-14,False,False
football_on_tv,Live Football On TV,Vídeo e transmissão,Site de programação,Consulta web; reutilização a conferir,Programação de futebol no Reino Unido,transmissao;partida,Jogo; canal; horário; competição,Grade específica do mercado britânico; não extrapolar disponibilidade para o Brasil.,https://www.live-footballontv.com/,pagina,2026-09-14,False,False
